Node,Name,Latitude,Longitude,Limit,Type,kVolts
1001,ODESSA 2 0,31.906736,-102.262348,0,,115
1002,PRESIDIO 2 0,29.888046,-104.519139,0,,115
1003,O DONNELL 1 0,32.926389,-101.647778,0,,115
1004,O DONNELL 1 1,32.926389,-101.647778,211,Wind,230
1005,BIG SPRING 5 0,32.2075,-101.388333,0,,115
1006,BIG SPRING 5 1,32.2075,-101.388333,34.29999924,Wind,13.80000019
1007,VAN HORN 0,31.09348,-104.624514,0,,115
1008,IRAAN 2 0,30.931467,-102.201433,0,,115
1009,IRAAN 2 1,30.931467,-102.201433,82.5,Wind,13.80000019
1010,PRESIDIO 1 0,29.6,-104.3,0,,115
1011,PRESIDIO 1 1,29.6,-104.3,10,Solar,22
1012,SANDERSON 0,30.028067,-101.970461,0,,115
1013,MONAHANS 2 0,31.484586,-103.161046,0,,115
1014,GRANDFALLS 0,31.169523,-103.085134,0,,115
1015,MARFA 0,30.285296,-104.005761,0,,115
1016,GARDEN CITY 0,31.763075,-101.501775,0,,115
1017,ODESSA 4 0,31.725171,-102.413607,0,,115
1018,NOTREES 0,31.799171,-102.632933,0,,115
1019,MIDLAND 4 0,31.979427,-102.132366,0,,115
1020,BIG SPRING 1 0,31.9925,-101.1167,0,,115
1021,BIG SPRING 1 1,31.9925,-101.1167,199.5,Wind,13.80000019
1022,O DONNELL 2 0,32.929014,-101.578617,0,,115
1023,O DONNELL 2 1,32.929014,-101.578617,180,Wind,13.80000019
1024,ODESSA 6 0,31.969312,-102.630882,0,,115
1025,BIG SPRINGS 0,32.039,-101.22,0,,115
1026,BIG SPRINGS 1,32.039,-101.22,124.1999969,Wind,13.80000019
1027,MIDLAND 2 0,32.321673,-102.042298,0,,115
1028,COAHOMA 0,32.879511,-101.246784,0,,115
1029,MIDLAND 3 0,31.992384,-102.081464,0,,115
1030,ALPINE 0,29.802094,-103.22236,0,,115
1031,FORT DAVIS 0,31.004969,-103.759065,0,,115
1032,MCCAMEY 1 0,31.2092,-102.2417,0,,115
1033,MCCAMEY 1 1,31.2092,-102.2417,278,Wind,230
1034,BIG SPRING 4 0,31.991442,-101.302637,0,,115
1035,BIG SPRING 4 1,31.991442,-101.302637,90,Wind,13.80000019
